,name,max_value,min_value,mean_value,nrows,ncols
314,GSM87101.cel,46093.0,67.5,537.88,712.0,712.0
315,GSM87102.cel,46093.0,67.5,537.88,712.0,712.0
316,GSM87103.cel,46093.0,67.5,537.88,712.0,712.0
317,GSM87104.cel,46093.0,67.5,537.88,712.0,712.0
318,GSM87105.cel,46093.0,67.5,537.88,712.0,712.0
319,GSM87106.cel,46093.0,67.5,537.88,712.0,712.0
320,GSM87107.cel,46093.0,67.5,537.88,712.0,712.0
321,GSM87108.cel,46093.0,67.5,537.88,712.0,712.0
322,GSM87109.cel,46093.0,67.5,537.88,712.0,712.0
323,GSM87110.cel,46093.0,67.5,537.88,712.0,712.0
324,GSM87111.cel,46093.0,67.5,537.88,712.0,712.0
325,GSM87112.cel,46093.0,67.5,537.88,712.0,712.0
326,GSM87113.CEL,46093.0,67.5,537.88,712.0,712.0
327,GSM87114.cel,46093.0,67.5,537.88,712.0,712.0
328,GSM87115.cel,46093.0,67.5,537.88,712.0,712.0
329,GSM87116.cel,46093.0,67.5,537.88,712.0,712.0
330,GSM87117.cel,46093.0,67.5,537.88,712.0,712.0
331,GSM87118.cel,46093.0,67.5,537.88,712.0,712.0
332,GSM87119.cel,46093.0,67.5,537.88,712.0,712.0
333,GSM87120.cel,46093.0,67.5,537.88,712.0,712.0
334,GSM87121.cel,46093.0,67.5,537.88,712.0,712.0
335,GSM87122.cel,46093.0,67.5,537.88,712.0,712.0
336,GSM87123.cel,46093.0,67.5,537.88,712.0,712.0
337,GSM87124.cel,46093.0,67.5,537.88,712.0,712.0
338,GSM87125.cel,46093.0,67.5,537.88,712.0,712.0
339,GSM87126.cel,46093.0,67.5,537.88,712.0,712.0
340,GSM87127.cel,46093.0,67.5,537.88,712.0,712.0
341,GSM87128.cel,46093.0,67.5,537.88,712.0,712.0
342,GSM87129.cel,46093.0,67.5,537.88,712.0,712.0
343,GSM87130.cel,46093.0,67.5,537.88,712.0,712.0
344,GSM87131.cel,46093.0,67.5,537.88,712.0,712.0
345,GSM87132.cel,46093.0,67.5,537.88,712.0,712.0
346,GSM87133.cel,46093.0,67.5,537.88,712.0,712.0
347,GSM87134.cel,46093.0,67.5,537.88,712.0,712.0
348,GSM87135.cel,46093.0,67.5,537.88,712.0,712.0
349,GSM87136.cel,46093.0,67.5,537.88,712.0,712.0
350,GSM87137.cel,46093.0,67.5,537.88,712.0,712.0
351,GSM87138.cel,46093.0,67.5,537.88,712.0,712.0
352,GSM87139.cel,46093.0,67.5,537.88,712.0,712.0
353,GSM87140.cel,46093.0,67.5,537.88,712.0,712.0
354,GSM87141.cel,46093.0,67.5,537.88,712.0,712.0
355,GSM87142.cel,46093.0,67.5,537.88,712.0,712.0
356,GSM87143.cel,46093.0,67.5,537.88,712.0,712.0
357,GSM87144.cel,46093.0,67.5,537.88,712.0,712.0
358,GSM87145.cel,46093.0,67.5,537.88,712.0,712.0
359,GSM87146.cel,46093.0,67.5,537.88,712.0,712.0
360,GSM87147.cel,46093.0,67.5,537.88,712.0,712.0
361,GSM87148.cel,46093.0,67.5,537.88,712.0,712.0
362,GSM87149.cel,46093.0,67.5,537.88,712.0,712.0
363,GSM87150.cel,46093.0,67.5,537.88,712.0,712.0
364,GSM87151.cel,46093.0,67.5,537.88,712.0,712.0
365,GSM87152.cel,46093.0,67.5,537.88,712.0,712.0
366,GSM87153.cel,46093.0,67.5,537.88,712.0,712.0
367,GSM87154.cel,46093.0,67.5,537.88,712.0,712.0
368,GSM87155.cel,46093.0,67.5,537.88,712.0,712.0
369,GSM87156.cel,46093.0,67.5,537.88,712.0,712.0
370,GSM87157.cel,46093.0,67.5,537.88,712.0,712.0
371,GSM87158.cel,46093.0,67.5,537.88,712.0,712.0
372,GSM87159.cel,46093.0,67.5,537.88,712.0,712.0
373,GSM87160.cel,46093.0,67.5,537.88,712.0,712.0
374,GSM87161.cel,46093.0,67.5,537.88,712.0,712.0
375,GSM87162.cel,46093.0,67.5,537.88,712.0,712.0
376,GSM87163.cel,46093.0,67.5,537.88,712.0,712.0
377,GSM87164.cel,46093.0,67.5,537.88,712.0,712.0
378,GSM87165.cel,46093.0,67.5,537.88,712.0,712.0
379,GSM87166.cel,46093.0,67.5,537.88,712.0,712.0
380,GSM87167.cel,46093.0,67.5,537.88,712.0,712.0
381,GSM87168.cel,46093.0,67.5,537.88,712.0,712.0
382,GSM87169.cel,46093.0,67.5,537.88,712.0,712.0
383,GSM87170.cel,46093.0,67.5,537.88,712.0,712.0
